ingredient,count,cuisine
flank,1,mexican
thickcut,1,mexican
nuts,1,mexican
macadamia,1,mexican
chia,1,mexican
steak,1,mexican
bonito,1,mexican
slice,1,mexican
crusty,1,mexican
pot,1,mexican
manchego,1,mexican
bitter,1,mexican
achiote,1,mexican
annatto,1,mexican
semisweet,1,mexican
thread,1,mexican
saffron,1,mexican
rose,1,mexican
wheat,1,mexican
steaks,1,mexican
skirt,1,mexican
soda,1,mexican
quarts,1,mexican
mixed,1,mexican
coarseground,1,mexican
wish,1,mexican
shortening,1,mexican
peppercorn,1,mexican
bottle,1,mexican
squeeze,1,mexican
skinned,1,mexican
apricot,1,mexican
hulled,1,mexican
sal,1,mexican
hardboiled,1,mexican
time,1,mexican
sprig,1,mexican
lemons,1,mexican
rubbed,1,mexican
capers,1,mexican
olives,1,mexican
guero,1,mexican
shells,1,mexican
clams,1,mexican
touch,1,mexican
sections,1,mexican
runny,1,mexican
slightly,1,mexican
richtasting,1,mexican
rotisserie,1,mexican
brown,1,mexican
zested,1,mexican
curry,1,mexican
tamari,1,mexican
soy,1,mexican
ginger,1,mexican
rounds,1,mexican
rings,1,mexican
unseasoned,1,mexican
solid,1,mexican
crisply,1,mexican
bean,1,mexican
basil,1,mexican
nacho,1,mexican
swiss,1,mexican
layers,1,mexican
cloth,1,mexican
x,1,mexican
note,1,mexican
husked,1,mexican
package,1,mexican
versio,1,mexican
phillipine,1,mexican
made,1,mexican
latino,1,mexican
work,1,mexican
vegan,1,mexican
caned,1,mexican
bone,1,mexican
half,1,mexican
bolillos,1,mexican
two,1,mexican
needed,1,mexican
soaking,1,mexican
whipping,1,mexican
espresso,1,mexican
motts,1,mexican
gallons,1,mexican
shrimp,1,mexican
chips,1,mexican
scallions,1,mexican
radishes,1,mexican
directions,1,mexican
cooking,1,mexican
fried,1,mexican
tripe,1,mexican
japones,1,mexican
mozzarella,1,mexican
dredging,1,mexican
bottles,1,mexican
parrot,1,mexican
premium,1,mexican
cucumber,1,mexican
follow,1,mexican
sec,1,mexican
fully,1,mexican
nonfat,1,mexican
use,1,mexican
usually,1,mexican
carrot,1,mexican
beaten,1,mexican
kind,1,mexican
casing,1,mexican
ears,1,mexican
lean,1,mexican
nopalitos,1,mexican
cotija,1,mexican
chihuahua,1,mexican
sriracha,1,mexican
shucked,1,mexican
clamato,1,mexican
nondark,1,mexican
stalks,1,mexican
flesh,1,mexican
links,1,mexican
dough,1,mexican
roll,1,mexican
crescent,1,mexican
loaves,1,mexican
french,1,mexican
bread,1,mexican
breadcrumbs,1,mexican
almonds,1,mexican
fourths,1,mexican
canela,1,mexican
containers,1,mexican
margarine,1,mexican
crock,1,mexican
cheddar,1,mexican
grape,1,mexican
bunches,1,mexican
lightly,1,mexican
condensed,1,mexican
thirds,1,mexican
pure,1,mexican
peanut,1,mexican
guava,1,mexican
evaporated,1,mexican
piloncillo,1,mexican
sweetened,1,mexican
another,1,mexican
cones,1,mexican
cabrito,1,mexican
short,1,mexican
icecold,1,mexican
monterrey,1,mexican
hard,1,mexican
drops,1,mexican
depending,1,mexican
brewed,1,mexican
anchovy,1,mexican
boiled,1,mexican
roma,1,mexican
mashed,1,mexican
purple,1,mexican
croutons,1,mexican
cocoa,1,mexican
sherry,1,mexican
romaine,1,mexican
parmesan,1,mexican
guacamole,1,mexican
virgin,1,mexican
extra,1,mexican
coddled,1,mexican
yolk,1,mexican
smashed,1,mexican
yogurt,1,mexican
frijoles,1,mexican
extravirgin,1,mexican
oaxaca,1,mexican
strong,1,mexican
powdered,1,mexican
box,1,mexican
unbleached,1,mexican
pan,1,mexican
shopped,1,mexican
halves,1,mexican
dehydrated,1,mexican
duck,1,mexican
oversized,1,mexican
chops,1,mexican
shell,1,mexican
taco,1,mexican
grasshoppers,1,mexican
watermelon,1,mexican
mexico,1,mexican
nothing,1,mexican
new,1,mexican
first,1,mexican
peel,1,mexican
prefer,1,mexican
adorn,1,mexican
paddles,1,mexican
jitomates,1,mexican
authenticreal,1,mexican
breast,1,mexican
greenyellow,1,mexican
tequila,1,mexican
triple,1,mexican
ice,1,mexican
cactus,1,mexican
zucchini,1,mexican
added,1,mexican
tamarind,1,mexican
pulp,1,mexican
liters,1,mexican
pato,1,mexican
pref,1,mexican
little,1,mexican
long,1,mexican
favorite,1,mexican
legs,1,mexican
brand,1,mexican
el,1,mexican
plain,1,mexican
bite,1,mexican
potatoes,1,mexican
washed,1,mexican
cap,1,mexican
generous,1,mexican
cleaned,1,mexican
preserves,1,mexican
salt,68,italian
cheese,63,italian
pepper,61,italian
oil,61,italian
olive,52,italian
garlic,51,italian
flour,35,italian
white,29,italian
cloves,28,italian
tomatoes,27,italian
red,26,italian
sugar,26,italian
parmesan,26,italian
butter,26,italian
basil,25,italian
diced,25,italian
wine,25,italian
water,24,italian
chicken,24,italian
parsley,24,italian
onion,23,italian
black,23,italian
small,22,italian
italian,21,italian
eggs,20,italian
use,18,italian
egg,17,italian
allpurpose,16,italian
tomato,16,italian
crushed,15,italian
drained,15,italian
extra,15,italian
virgin,15,italian
leaf,15,italian
celery,15,italian
beaten,15,italian
oregano,14,italian
cream,14,italian
medium,14,italian
sauce,13,italian
plus,13,italian
powder,13,italian
pasta,13,italian
lemon,13,italian
flakes,13,italian
cooked,13,italian
stock,12,italian
juice,12,italian
romano,12,italian
beef,11,italian
peeled,11,italian
mozzarella,11,italian
vanilla,11,italian
seasoning,11,italian
broth,10,italian
leaves,10,italian
whole,10,italian
sea,9,italian
vinegar,9,italian
coarsely,9,italian
boneless,9,italian
sausage,8,italian
extract,8,italian
unsalted,8,italian
melted,8,italian
bay,8,italian
milk,8,italian
kosher,8,italian
flat,7,italian
capers,7,italian
bread,7,italian
yeast,7,italian
ricotta,7,italian
paste,7,italian
rice,7,italian
breadcrumbs,7,italian
zest,7,italian
skinless,7,italian
rinsed,7,italian
sweet,6,italian
shortening,6,italian
shredded,6,italian
thyme,6,italian
pinch,6,italian
removed,6,italian
pork,6,italian
balsamic,6,italian
almond,6,italian
slices,6,italian
fish,6,italian
chocolate,6,italian
carrot,6,italian
heavy,6,italian
thick,6,italian
fine,6,italian
carrots,6,italian
veal,6,italian
spaghetti,5,italian
arborio,5,italian
frozen,5,italian
package,5,italian
onions,5,italian
desired,5,italian
slightly,5,italian
mushrooms,5,italian
vegetable,5,italian
olives,5,italian
half,5,italian
warm,5,italian
green,5,italian
bacon,5,italian
orange,5,italian
canned,5,italian
hot,5,italian
shrimp,5,italian
dash,5,italian
rosemary,5,italian
thin,5,italian
bell,5,italian
fillets,5,italian
nutmeg,5,italian
active,5,italian
clove,4,italian
cans,4,italian
like,4,italian
baking,4,italian
pitted,4,italian
beans,4,italian
coarse,4,italian
pecorino,4,italian
used,4,italian
pancetta,4,italian
shells,4,italian
spinach,4,italian
plum,4,italian
cayenne,4,italian
honey,4,italian
round,4,italian
seasoned,4,italian
nuts,4,italian
chili,4,italian
crumbled,4,italian
frying,4,italian
breast,4,italian
stalks,4,italian
shell,3,italian
room,3,italian
pieces,3,italian
divided,3,italian
pizza,3,italian
paper,3,italian
temperature,3,italian
almonds,3,italian
marinara,3,italian
cinnamon,3,italian
roasted,3,italian
kg,3,italian
anise,3,italian
breasts,3,italian
substitute,3,italian
lean,3,italian
pine,3,italian
mixed,3,italian
needed,3,italian
thawed,3,italian
f,3,italian
anchovy,3,italian
steaks,3,italian
peppers,3,italian
bone,3,italian
cod,3,italian
squid,3,italian
cubed,3,italian
blanched,3,italian
confectioners,3,italian
chips,3,italian
yolks,3,italian
cleaned,3,italian
seed,3,italian
shallot,3,italian
homemade,3,italian
cubes,3,italian
ice,3,italian
baby,3,italian
lightly,3,italian
cherries,3,italian
squeezed,2,italian
nano,2,italian
mini,2,italian
vialone,2,italian
casing,2,italian
cookies,2,italian
undrained,2,italian
carnaroli,2,italian
superfino,2,italian
risotto,2,italian
mediumgrain,2,italian
marsala,2,italian
candied,2,italian
maraschino,2,italian
vodka,2,italian
lemons,2,italian
calamari,2,italian
well,2,italian
cherry,2,italian
deveined,2,italian
shelled,2,italian
clams,2,italian
top,2,italian
dusting,2,italian
steak,2,italian
raw,2,italian
rings,2,italian
inch,2,italian
deep,2,italian
whipping,2,italian
pure,2,italian
skin,2,italian
potatoes,2,italian
depending,2,italian
links,2,italian
want,2,italian
pistachios,2,italian
stems,2,italian
flesh,2,italian
meat,2,italian
shanks,2,italian
bass,2,italian
puree,2,italian
either,2,italian
cooled,2,italian
roomtemp,2,italian
packed,2,italian
toasted,2,italian
french,2,italian
type,2,italian
chuck,2,italian
unbleached,2,italian
granulated,2,italian
coconut,2,italian
tbsp,2,italian
baccalasoaked,2,italian
fluid,2,italian
bunch,2,italian
prosciutto,2,italian
wedges,2,italian
drizzle,2,italian
may,2,italian
thighs,2,italian
vineripened,2,italian
oz,2,italian
kalamata,2,italian
skinned,2,italian
semisweet,2,italian
picked,2,italian
suit,2,italian
one,2,italian
casings,2,italian
kale,2,italian
good,2,italian
halves,2,italian
margarine,2,italian
work,2,italian
zucchini,2,italian
cold,2,italian
kidney,2,italian
heat,2,italian
adjust,2,italian
penne,2,italian
shallots,2,italian
torn,2,italian
perciatelli,2,italian
mashed,2,italian
potato,2,italian
old,2,italian
rind,2,italian
lasagna,2,italian
preferably,2,italian
cutlets,2,italian
stalk,2,italian
soft,2,italian
level,2,italian
uncooked,2,italian
asiago,2,italian
mix,2,italian
parm,2,italian
sprigs,2,italian
halfandhalf,2,italian
chunks,2,italian
sprinkles,2,italian
ciabatta,1,italian
parmigianoreggiano,1,italian
yellow,1,italian
mediumground,1,italian
buffalo,1,italian
style,1,italian
combination,1,italian
cucumbers,1,italian
brinerinsed,1,italian
johnnys,1,italian
patted,1,italian
towels,1,italian
pounds,1,italian
polenta,1,italian
eggplant,1,italian
brand,1,italian
hunts,1,italian
hair,1,italian
available,1,italian
blackberries,1,italian
sundried,1,italian
heirloom,1,italian
needles,1,italian
trimmed,1,italian
clover,1,italian
lots,1,italian
branch,1,italian
paprika,1,italian
hungarian,1,italian
stewing,1,italian
country,1,italian
ball,1,italian
bing,1,italian
preserves,1,italian
camembert,1,italian
rolls,1,italian
loaf,1,italian
deli,1,italian
grown,1,italian
fried,1,italian
home,1,italian
strips,1,italian
brie,1,italian
porterhouse,1,italian
nicest,1,italian
multi,1,italian
maldon,1,italian
threecheese,1,italian
ripe,1,italian
bruschetta,1,italian
alternate,1,italian
creamy,1,italian
dinner,1,italian
nonalcoholic,1,italian
chives,1,italian
gelatin,1,italian
unflavored,1,italian
shaker,1,italian
cannoli,1,italian
slurry,1,italian
count,1,italian
make,1,italian
table,1,italian
refrigerated,1,italian
browning,1,italian
favorite,1,italian
striped,1,italian
inches,1,italian
crescent,1,italian
pound,1,italian
fatback,1,italian
tuscany,1,italian
blossom,1,italian
canadian,1,italian
petite,1,italian
noodle,1,italian
partially,1,italian
two,1,italian
rye,1,italian
bourbon,1,italian
follow,1,italian
directions,1,italian
traditionaly,1,italian
box,1,italian
meal,1,italian
scotch,1,italian
mild,1,italian
kahlua,1,italian
flavored,1,italian
cornstarch,1,italian
peas,1,italian
approximately,1,italian
whiskey,1,italian
cone,1,italian
rather,1,italian
cucumber,1,italian
cutlet,1,italian
bit,1,italian
lime,1,italian
ancho,1,italian
elongated,1,italian
cumin,1,italian
gelato,1,italian
grounds,1,italian
pint,1,italian
amaretto,1,italian
ones,1,italian
seeds,1,italian
sesame,1,italian
cornmeal,1,italian
wash,1,italian
ribbons,1,italian
hard,1,italian
sultana,1,italian
raisins,1,italian
colored,1,italian
limes,1,italian
glaze,1,italian
always,1,italian
light,1,italian
little,1,italian
yolk,1,italian
dish,1,italian
golden,1,italian
serving,1,italian
angel,1,italian
instant,1,italian
colors,1,italian
bright,1,italian
sodium,1,italian
dark,1,italian
rum,1,italian
fruit,1,italian
bowl,1,italian
grease,1,italian
grapeseed,1,italian
mold,1,italian
pan,1,italian
panettone,1,italian
hands,1,italian
raos,1,italian
split,1,italian
surface,1,italian
jar,1,italian
low,1,italian
mote,1,italian
nectar,1,italian
agave,1,italian
pestos,1,italian
garlicky,1,italian
tapenade,1,italian
flower,1,italian
proof,1,italian
bottles,1,italian
heated,1,italian
dip,1,italian
slice,1,italian
pepperoni,1,italian
partskim,1,italian
dough,1,italian
quarts,1,italian
fudge,1,italian
syrup,1,italian
linguine,1,italian
mincedchopped,1,italian
salted,1,italian
topping,1,italian
wafer,1,italian
sheets,1,italian
whites,1,italian
hazelnuts,1,italian
head,1,italian
cabbage,1,italian
garbanzo,1,italian
espresso,1,italian
curls,1,italian
cocoa,1,italian
savoiardi,1,italian
alessi,1,italian
packages,1,italian
brandy,1,italian
coffee,1,italian
strong,1,italian
brewed,1,italian
bean,1,italian
mascarpone,1,italian
chilled,1,italian
grade,1,italian
brushing,1,italian
peel,1,italian
citron,1,italian
mac,1,italian
drain,1,italian
mussels,1,italian
bream,1,italian
shaped,1,italian
unblanched,1,italian
richer,1,italian
serve,1,italian
coarsley,1,italian
salad,1,italian
real,1,italian
noodles,1,italian
cheesey,1,italian
short,1,italian
grain,1,italian
provolone,1,italian
aborio,1,italian
ditalini,1,italian
deepfrying,1,italian
cannellini,1,italian
progresso,1,italian
coating,1,italian
breadcrumb,1,italian
turkey,1,italian
flavor,1,italian
bottled,1,italian
prawns,1,italian
chop,1,italian
king,1,italian
balls,1,italian
monkfish,1,italian
oneinch,1,italian
shallowfrying,1,italian
welldrained,1,italian
cubelike,1,italian
orzo,1,italian
spicy,1,italian
amount,1,italian
sausages,1,italian
degrees,1,italian
scoops,1,italian
washed,1,italian
part,1,italian
sprinkling,1,italian
macaroni,1,italian
prepared,1,italian
edible,1,italian
belly,1,italian
pesto,1,italian
macaroons,1,italian
fillet,1,italian
catfish,1,italian
saffron,1,italian
worcestershire,1,italian
rough,1,italian
coriander,1,italian
shiitake,1,italian
finocchio,1,italian
fennel,1,italian
anchovies,1,italian
way,1,italian
go,1,italian
envelope,1,italian
drizzling,1,italian
scraped,1,italian
sherry,1,italian
mushroom,1,italian
also,1,italian
jack,1,italian
reserve,1,italian
scallops,1,italian
seafood,1,italian
allspice,1,italian
fruity,1,italian
long,1,italian
baguette,1,italian
pignolis,1,italian
tsp,1,italian
scaled,1,italian
heads,1,italian
berries,1,italian
tough,1,italian
comes,1,italian
salata,1,italian
buccatini,1,italian
quartered,1,italian
quality,1,italian
best,1,italian
veggie,1,italian
octopus,1,italian
consist,1,italian
monterey,1,italian
ham,1,italian
clarified,1,italian
chunked,1,italian
loose,1,italian
pints,1,italian
salami,1,italian
stemmed,1,italian
rib,1,italian
colavita,1,italian
spareribs,1,italian
meaty,1,italian
softened,1,italian
prefer,1,italian
brined,1,italian
description,1,italian
note,1,italian
see,1,italian
dredging,1,italian
butterflied,1,italian
maple,1,italian
peeledsmashed,1,italian
link,1,italian
less,1,italian
tartar,1,italian
fraiche,1,italian
soda,1,italian
scallions,1,italian
button,1,italian
preference,1,italian
touch,1,italian
springs,1,italian
cored,1,italian
fettuccine,1,italian
creme,1,italian
sharp,1,italian
cracked,1,italian
add,1,italian
suggest,1,italian
omit,1,italian
taggiasche,1,italian
reduce,1,italian
bonein,1,italian
substituted,1,italian
blend,1,italian
salt,76,indian
powder,60,indian
oil,55,indian
water,51,indian
pepper,45,indian
cumin,39,indian
garlic,37,indian
flour,34,indian
sugar,34,indian
ginger,33,indian
chili,33,indian
green,29,indian
leaves,29,indian
coriander,29,indian
seeds,28,indian
turmeric,28,indian
onion,28,indian
cardamom,27,indian
peeled,25,indian
cloves,25,indian
black,23,indian
paste,23,indian
cilantro,23,indian
cinnamon,21,indian
red,21,indian
chicken,20,indian
medium,19,indian
vegetable,19,indian
rice,19,indian
yogurt,19,indian
milk,19,indian
diced,18,indian
masala,18,indian
seed,17,indian
onions,17,indian
ghee,17,indian
pinch,17,indian
garam,17,indian
juice,16,indian
butter,16,indian
tomato,16,indian
whole,15,indian
plain,15,indian
chilies,15,indian
tomatoes,15,indian
cayenne,15,indian
lemon,14,indian
curry,14,indian
small,13,indian
crushed,13,indian
pods,13,indian
cream,11,indian
potatoes,11,indian
yellow,10,indian
mint,10,indian
mustard,10,indian
brown,10,indian
pieces,9,indian
clove,9,indian
baking,9,indian
white,9,indian
dal,8,indian
basmati,8,indian
bay,8,indian
inch,8,indian
powdered,8,indian
paprika,8,indian
saffron,7,indian
allpurpose,7,indian
sauce,7,indian
kg,7,indian
cooked,7,indian
sticks,7,indian
rose,6,indian
hot,6,indian
olive,6,indian
frozen,6,indian
frying,6,indian
almonds,6,indian
peas,6,indian
vinegar,6,indian
soda,6,indian
lentils,5,indian
flakes,5,indian
soaked,5,indian
split,5,indian
coconut,5,indian
light,5,indian
peppercorns,5,indian
indian,5,indian
boneless,5,indian
unsalted,5,indian
slices,5,indian
plus,5,indian
raw,5,indian
gram,5,indian
boiled,5,indian
gingerroot,5,indian
dough,5,indian
stock,4,indian
granulated,4,indian
thighs,4,indian
store,4,indian
sunflower,4,indian
sev,4,indian
extra,4,indian
thai,4,indian
fenugreek,4,indian
urad,4,indian
beaten,4,indian
canola,4,indian
lime,4,indian
skinless,4,indian
egg,4,indian
potato,4,indian
coarsely,4,indian
dash,4,indian
cubes,4,indian
ice,4,indian
soy,4,indian
leaf,4,indian
toasted,4,indian
sweet,4,indian
chickpeas,4,indian
deep,4,indian
mango,4,indian
half,4,indian
melted,4,indian
cashews,4,indian
part,4,indian
spring,3,indian
ripe,3,indian
recommended,3,indian
slivered,3,indian
chutney,3,indian
warm,3,indian
drumsticks,3,indian
cans,3,indian
available,3,indian
removed,3,indian
best,3,indian
spinach,3,indian
packed,3,indian
cheese,3,indian
nuts,3,indian
hindi,3,indian
pistachios,3,indian
known,3,indian
pulp,3,indian
roughly,3,indian
inches,3,indian
like,3,indian
baby,3,indian
besan,3,indian
virgin,3,indian
jalapeno,3,indian
fry,3,indian
serrano,3,indian
stick,3,indian
quartered,3,indian
use,3,indian
preferably,3,indian
breast,3,indian
quart,3,indian
peanut,3,indian
work,3,indian
peppers,3,indian
natural,3,indian
clarified,3,indian
tamarind,3,indian
piece,3,indian
fennel,3,indian
drained,3,indian
honey,3,indian
roasted,3,indian
double,3,indian
serving,3,indian
aka,3,indian
rolling,3,indian
cm,3,indian
size,2,indian
skinned,2,indian
hing,2,indian
broken,2,indian
less,2,indian
needed,2,indian
halfandhalf,2,indian
canned,2,indian
gingergarlic,2,indian
would,2,indian
margarine,2,indian
washed,2,indian
rinsed,2,indian
mashed,2,indian
thawed,2,indian
substitute,2,indian
liter,2,indian
orange,2,indian
dark,2,indian
hulled,2,indian
sriracha,2,indian
huy,2,indian
peanuts,2,indian
pc,2,indian
cornstarch,2,indian
coarse,2,indian
strawberry,2,indian
yeast,2,indian
yoghurt,2,indian
active,2,indian
fong,2,indian
bread,2,indian
thread,2,indian
kulfi,2,indian
beef,2,indian
noodles,2,indian
pista,2,indian
glass,2,indian
boiling,2,indian
puree,2,indian
broth,2,indian
falooda,2,indian
homemade,2,indian
lamb,2,indian
sesame,2,indian
bought,2,indian
beans,2,indian
chickpea,2,indian
buttermilk,2,indian
thick,2,indian
halves,2,indian
pea,2,indian
chick,2,indian
stores,2,indian
asafoetida,2,indian
meat,2,indian
carrot,2,indian
blanched,2,indian
semolina,2,indian
make,2,indian
moong,2,indian
sifted,2,indian
serve,2,indian
evaporated,2,indian
wheat,2,indian
garnishing,2,indian
almond,2,indian
bunch,2,indian
maida,2,indian
used,2,indian
paneer,2,indian
heavy,2,indian
idaho,2,indian
stem,2,indian
cardamoms,2,indian
allspice,2,indian
ilaichi,2,indian
divided,2,indian
fat,2,indian
madras,2,indian
chinese,1,indian
mild,1,indian
smallsizeddiced,1,indian
shallots,1,indian
takmaria,1,indian
bicarbonate,1,indian
full,1,indian
prawns,1,indian
puried,1,indian
brush,1,indian
chapati,1,indian
toover,1,indian
garbanzo,1,indian
rooafzah,1,indian
griddle,1,indian
skim,1,indian
parboiled,1,indian
eggplant,1,indian
fine,1,indian
desired,1,indian
chat,1,indian
lean,1,indian
longgrain,1,indian
florets,1,indian
amount,1,indian
reduce,1,indian
skimmed,1,indian
ketchup,1,indian
semi,1,indian
glasses,1,indian
seviyan,1,indian
vermicelli,1,indian
pistachio,1,indian
cucumber,1,indian
banana,1,indian
unpeeled,1,indian
mediumsizedchopped,1,indian
refined,1,indian
required,1,indian
cold,1,indian
raisin,1,indian
golden,1,indian
usli,1,indian
nylon,1,indian
poha,1,indian
shredded,1,indian
flattened,1,indian
carrots,1,indian
stalk,1,indian
shortening,1,indian
aaloobukharay,1,indian
shaping,1,indian
dice,1,indian
worked,1,indian
sieve,1,indian
food,1,indian
discarding,1,indian
pinches,1,indian
podina,1,indian
dhaniya,1,indian
patta,1,indian
pumpkin,1,indian
flesh,1,indian
tez,1,indian
bari,1,indian
dalchini,1,indian
zeera,1,indian
crackedcoarsely,1,indian
mirch,1,indian
kali,1,indian
apples,1,indian
cored,1,indian
cider,1,indian
mutton,1,indian
atleast,1,indian
chhoti,1,indian
hour,1,indian
chunks,1,indian
lehsan,1,indian
adrak,1,indian
prunes,1,indian
coloring,1,indian
mixed,1,indian
waxy,1,indian
sultana,1,indian
pressed,1,indian
dusting,1,indian
kneading,1,indian
tops,1,indian
salted,1,indian
extract,1,indian
uncooked,1,indian
selfrising,1,indian
laung,1,indian
mung,1,indian
oven,1,indian
bake,1,indian
coffee,1,indian
