instruction_term,count,cuisine
glistening,1,italian
barely,1,italian
briskly,1,italian
breast,1,italian
heats,1,italian
eyes,1,italian
quartered,1,italian
oneinch,1,italian
wideths,1,italian
pierced,1,italian
aromatic,1,italian
baby,1,italian
crumbscoating,1,italian
yet,1,italian
sticking,1,italian
vary,1,italian
upon,1,italian
recover,1,italian
tacky,1,italian
unwrap,1,italian
dimension,1,italian
perpendicular,1,italian
½inch,1,italian
unfurl,1,italian
bottles,1,italian
mealy,1,italian
similar,1,italian
omit,1,italian
worcestershire,1,italian
saffron,1,italian
crisps,1,italian
renders,1,italian
cooks,1,italian
salty,1,italian
fifteen,1,italian
strands,1,italian
salata,1,italian
roomtemp,1,italian
addin,1,italian
temp,1,italian
standing,1,italian
moistened,1,italian
wellfloured,1,italian
irregular,1,italian
loaves,1,italian
dampened,1,italian
lowest,1,italian
position,1,italian
fennel,1,italian
garlicoilrosemary,1,italian
pignoli,1,italian
putting,1,italian
flores,1,italian
book,1,italian
soaked,1,italian
skinless,1,italian
boneless,1,italian
panuse,1,italian
dripping,1,italian
worry,1,italian
crowding,1,italian
mushroom,1,italian
welloiled,1,italian
dislodge,1,italian
stuck,1,italian
spring,1,italian
sprinkled,1,italian
walnut,1,italian
prosciutto,1,italian
ham,1,italian
¾,1,italian
lukewarm,1,italian
racks,1,italian
risotto,1,italian
enable,1,italian
feed,1,italian
pretty,1,italian
tea,1,italian
ive,1,italian
instead,1,italian
cheddar,1,italian
works,1,italian
mediterranean,1,italian
cachet,1,italian
pulse,1,italian
tube,1,italian
drape,1,italian
ricecoating,1,italian
taken,1,italian
continuously,1,italian
tenderfirm,1,italian
chives,1,italian
cast,1,italian
iron,1,italian
shank,1,italian
liberally,1,italian
looks,1,italian
tomatoonion,1,italian
find,1,italian
reach,1,italian
entire,1,italian
stale,1,italian
celsius,1,italian
slight,1,italian
diagonal,1,italian
slant,1,italian
fruity,1,italian
anointed,1,italian
didnt,1,italian
pack,1,italian
pesto,1,italian
reached,1,italian
centre,1,italian
feel,1,italian
trust,1,italian
pure,1,italian
flaky,1,italian
tasting,1,italian
ordinary,1,italian
person,1,italian
kosmas,1,italian
eva,1,italian
adventures,1,italian
mounds,1,italian
strokes,1,italian
pastries,1,italian
puff,1,italian
beautiful,1,italian
confectioners,1,italian
yolk,1,italian
marsala,1,italian
beating,1,italian
continously,1,italian
formed,1,italian
throroughly,1,italian
mascarpone,1,italian
espresso,1,italian
brandy,1,italian
coffee,1,italian
saturated,1,italian
falling,1,italian
blanching,1,italian
puncture,1,italian
hotel,1,italian
shell,1,italian
cloth,1,italian
courtesy,1,italian
starting,1,italian
lose,1,italian
elasticity,1,italian
easily,1,italian
pice,1,italian
third,1,italian
fourth,1,italian
separating,1,italian
care,1,italian
four,1,italian
shorter,1,italian
arranging,1,italian
ends,1,italian
short,1,italian
thing,1,italian
knige,1,italian
ribbon,1,italian
fromerly,1,italian
thinger,1,italian
measure,1,italian
longest,1,italian
maple,1,italian
butcher,1,italian
twine,1,italian
listed,1,italian
zigzag,1,italian
edged,1,italian
pastry,1,italian
cutter,1,italian
drying,1,italian
skimmer,1,italian
drained,1,italian
alternating,1,italian
sprinkling,1,italian
accumulated,1,italian
cylinder,1,italian
halfway,1,italian
roast,1,italian
run,1,italian
clear,1,italian
creme,1,italian
fraiche,1,italian
asiago,1,italian
fettuccine,1,italian
alfredo,1,italian
dab,1,italian
dabs,1,italian
teaspoonfuls,1,italian
boiled,1,italian
convection,1,italian
hits,1,italian
flip,1,italian
manner,1,italian
vigorously,1,italian
soak,1,italian
baccala,1,italian
panbowl,1,italian
dayschanging,1,italian
squaresset,1,italian
oilonion,1,italian
celerybay,1,italian
leafthyme,1,italian
browning,1,italian
duty,1,italian
grinding,1,italian
scissors,1,italian
neat,1,italian
spareribs,1,italian
buttered,1,italian
add,249,indian
heat,170,indian
minutes,157,indian
water,114,indian
oil,103,indian
cook,90,indian
dough,88,indian
stir,88,indian
pan,82,indian
salt,69,indian
mix,62,indian
chicken,58,indian
well,55,indian
serve,55,indian
make,54,indian
powder,53,indian
hot,53,indian
medium,45,indian
bowl,45,indian
large,41,indian
cover,41,indian
fry,39,indian
remove,39,indian
paste,39,indian
garlic,38,indian
sugar,38,indian
flour,37,indian
rice,37,indian
ginger,37,indian
place,37,indian
put,37,indian
cumin,35,indian
batter,35,indian
mixture,35,indian
boil,35,indian
milk,34,indian
keep,34,indian
brown,33,indian
balls,32,indian
onion,32,indian
potatoes,32,indian
sauce,31,indian
ghee,31,indian
seeds,31,indian
aside,30,indian
simmer,29,indian
one,29,indian
coriander,28,indian
roll,28,indian
onions,28,indian
leaves,27,indian
turn,26,indian
little,26,indian
golden,26,indian
turmeric,25,indian
lightly,25,indian
let,25,indian
together,25,indian
stirring,25,indian
smooth,25,indian
till,25,indian
ball,25,indian
tomato,24,indian
set,24,indian
take,24,indian
butter,24,indian
bring,23,indian
time,23,indian
frying,23,indian
cooked,23,indian
dry,23,indian
cardamom,23,indian
side,22,indian
remaining,22,indian
tomatoes,22,indian
reduce,22,indian
pour,22,indian
pieces,22,indian
chili,22,indian
cinnamon,21,indian
oven,21,indian
hours,21,indian
blender,21,indian
cilantro,21,indian
use,21,indian
spices,21,indian
low,21,indian
pot,20,indian
using,20,indian
cool,20,indian
drain,20,indian
pepper,20,indian
masala,20,indian
meat,19,indian
tender,19,indian
ready,19,indian
curry,19,indian
small,19,indian
serving,19,indian
warm,19,indian
rolling,19,indian
form,18,indian
minute,18,indian
chutney,18,indian
skillet,17,indian
syrup,17,indian
get,17,indian
surface,17,indian
spoon,17,indian
around,17,indian
thick,16,indian
dont,16,indian
gently,16,indian
knead,16,indian
half,16,indian
ingredients,16,indian
taste,16,indian
cut,16,indian
like,16,indian
allow,15,indian
green,15,indian
cooking,15,indian
sides,15,indian
mixing,15,indian
slowly,15,indian
inches,15,indian
combine,15,indian
food,15,indian
saute,15,indian
yogurt,14,indian
cup,14,indian
tbsp,14,indian
continue,14,indian
cloves,14,indian
soak,14,indian
immediately,14,indian
top,14,indian
garam,14,indian
cups,13,indian
chopped,13,indian
two,13,indian
tablespoon,13,indian
transfer,13,indian
sprinkle,13,indian
soft,12,indian
temperature,12,indian
stick,12,indian
processor,12,indian
seconds,12,indian
cayenne,12,indian
lemon,12,indian
garnish,12,indian
juice,12,indian
filling,12,indian
mint,12,indian
bottom,12,indian
coconut,11,indian
spinach,11,indian
enough,11,indian
begin,11,indian
divide,11,indian
high,11,indian
consistency,11,indian
paratha,11,indian
lower,11,indian
cream,11,indian
inch,11,indian
potato,11,indian
blend,11,indian
tablespoons,11,indian
fold,11,indian
grind,11,indian
slightly,10,indian
bay,10,indian
diameter,10,indian
least,10,indian
marinade,10,indian
saucepan,10,indian
liquid,10,indian
done,10,indian
may,10,indian
ground,10,indian
bake,10,indian
hour,10,indian
rest,10,indian
covered,10,indian
adding,10,indian
hands,10,indian
part,10,indian
wok,10,indian
edges,10,indian
heavy,10,indian
paper,10,indian
lentils,9,indian
baking,9,indian
enjoy,9,indian
spread,9,indian
container,9,indian
color,9,indian
lid,9,indian
mediumhigh,9,indian
coffee,9,indian
recipe,9,indian
jalebis,9,indian
towel,9,indian
deep,9,indian
dish,9,indian
pin,9,indian
flame,9,indian
saffron,9,indian
room,8,indian
quickly,8,indian
mustard,8,indian
coat,8,indian
dal,8,indian
sure,8,indian
floured,8,indian
another,8,indian
making,8,indian
press,8,indian
whole,8,indian
papadams,8,indian
long,8,indian
naan,8,indian
fresh,8,indian
plate,8,indian
black,8,indian
florets,8,indian
brush,8,indian
ice,8,indian
shape,8,indian
onto,8,indian
slice,8,indian
evenly,8,indian
seal,7,indian
bit,7,indian
method,7,indian
fine,7,indian
see,7,indian
nonstick,7,indian
clean,7,indian
step,7,indian
red,7,indian
bread,7,indian
moist,7,indian
process,7,indian
grill,7,indian
tapioca,7,indian
rinse,7,indian
indian,7,indian
occasionally,7,indian
also,7,indian
frequently,7,indian
tsp,7,indian
need,7,indian
browned,7,indian
completely,7,indian
needed,7,indian
almonds,7,indian
first,7,indian
much,7,indian
light,7,indian
thin,7,indian
ensure,7,indian
drop,7,indian
fried,7,indian
wash,7,indian
overnight,7,indian
toss,6,indian
pastry,6,indian
peel,6,indian
flip,6,indian
chile,6,indian
next,6,indian
repeat,6,indian
poha,6,indian
excess,6,indian
chilies,6,indian
circle,6,indian
season,6,indian
equal,6,indian
wrap,6,indian
cloth,6,indian
starts,6,indian
start,6,indian
puree,6,indian
melted,6,indian
griddle,6,indian
necessary,6,indian
pinch,6,indian
bag,6,indian
run,6,indian
kneading,6,indian
boiling,6,indian
gulab,6,indian
lime,6,indian
come,6,indian
jamuns,6,indian
tamarind,6,indian
marinate,6,indian
want,6,indian
refrigerator,6,indian
way,6,indian
peas,6,indian
back,6,indian
moisture,6,indian
leave,6,indian
yoghurt,6,indian
check,6,indian
knife,5,indian
bottle,5,indian
rise,5,indian
separate,5,indian
damp,5,indian
reheat,5,indian
browning,5,indian
times,5,indian
adjust,5,indian
hand,5,indian
turning,5,indian
diced,5,indian
chillies,5,indian
sizzle,5,indian
later,5,indian
meatballs,5,indian
spots,5,indian
constantly,5,indian
absorbed,5,indian
teaspoon,5,indian
second,5,indian
layer,5,indian
fragrant,5,indian
spatula,5,indian
preheat,5,indian
used,5,indian
even,5,indian
try,5,indian
chai,5,indian
paprika,5,indian
added,5,indian
three,5,indian
good,5,indian
sesame,5,indian
wet,5,indian
noodles,5,indian
egg,5,indian
airtight,5,indian
store,5,indian
batches,5,indian
spice,5,indian
squares,5,indian
size,5,indian
thickens,5,indian
rack,5,indian
clear,5,indian
desired,5,indian
approximately,5,indian
nuts,5,indian
either,5,indian
refrigerate,5,indian
chilli,5,indian
thickened,5,indian
samosas,5,indian
possible,5,indian
longer,5,indian
flat,5,indian
vinegar,5,indian
basmati,4,indian
carrots,4,indian
ml,4,indian
last,4,indian
begins,4,indian
lumps,4,indian
seed,4,indian
uncovered,4,indian
khoya,4,indian
along,4,indian
mixed,4,indian
breads,4,indian
colour,4,indian
dip,4,indian
centre,4,indian
courtesy,4,indian
air,4,indian
beans,4,indian
chetna,4,indian
stiff,4,indian
mortar,4,indian
makan,4,indian
pestle,4,indian
book,4,indian
every,4,indian
crackle,4,indian
middle,4,indian
eat,4,indian
piece,4,indian
white,4,indian
chaat,4,indian
directly,4,indian
round,4,indian
sweet,4,indian
vermicelli,4,indian
must,4,indian
lamb,4,indian
point,4,indian
break,4,indian
crushed,4,indian
evaporated,4,indian
pods,4,indian
sized,4,indian
return,4,indian
made,4,indian
inside,4,indian
mash,4,indian
puran,4,indian
center,4,indian
sticks,4,indian
couple,4,indian
refrigerated,4,indian
palm,4,indian
sauté,4,indian
poli,4,indian
look,4,indian
four,4,indian
mediumlow,4,indian
pistachios,4,indian
best,4,indian
idli,4,indian
mango,4,indian
powdered,4,indian
work,4,indian
youre,4,indian
chilled,4,indian
served,4,indian
puri,4,indian
days,4,indian
puffed,4,indian
nut,4,indian
roast,4,indian
thicken,4,indian
mashed,4,indian
translucent,4,indian
stand,4,indian
rolled,4,indian
flatten,4,indian
except,4,indian
shake,4,indian
help,4,indian
thoroughly,4,indian
youll,4,indian
cold,4,indian
cubes,4,indian
ladle,4,indian
ketchup,4,indian
roasting,4,indian
closed,4,indian
bags,4,indian
move,4,indian
fat,4,indian
chill,4,indian
away,3,indian
toast,3,indian
bun,3,indian
makes,3,indian
extract,3,indian
carrot,3,indian
crescent,3,indian
rolls,3,indian
measure,3,indian
patties,3,indian
close,3,indian
give,3,indian
prefer,3,indian
plastic,3,indian
easy,3,indian
getting,3,indian
nice,3,indian
cauliflower,3,indian
several,3,indian
glass,3,indian
soda,3,indian
still,3,indian
buttered,3,indian
molds,3,indian
warmed,3,indian
paneer,3,indian
south,3,indian
almost,3,indian
cooker,3,indian
tight,3,indian
degrees,3,indian
open,3,indian
twice,3,indian
dried,3,indian
fork,3,indian
chiles,3,indian
juices,3,indian
rings,3,indian
parts,3,indian
peanuts,3,indian
wait,3,indian
icing,3,indian
stock,3,indian
finger,3,indian
empty,3,indian
optional,3,indian
tapiocas,3,indian
pearls,3,indian
becomes,3,indian
coated,3,indian
minced,3,indian
sev,3,indian
honey,3,indian
less,3,indian
right,3,indian
without,3,indian
become,3,indian
vegetable,3,indian
changes,3,indian
steam,3,indian
golf,3,indian
larger,3,indian
based,3,indian
mins,3,indian
crisp,3,indian
soup,3,indian
metal,3,indian
sink,3,indian
spring,3,indian
portion,3,indian
cardamoms,3,indian
portions,3,indian
often,3,indian
skin,3,indian
towels,3,indian
chop,3,indian
change,3,indian
plates,3,indian
vadas,3,indian
reduced,3,indian
careful,3,indian
looks,3,indian
generous,3,indian
pigeon,3,indian
scrape,3,indian
canola,3,indian
stove,3,indian
stored,3,indian
pudding,3,indian
circles,3,indian
boiled,3,indian
carefully,3,indian
vessel,3,indian
would,3,indian
chickpeas,3,indian
dust,3,indian
shallow,3,indian
melt,3,indian
absorbent,3,indian
gradually,3,indian
tube,3,indian
finish,3,indian
broiler,3,indian
fenugreek,3,indian
depending,3,indian
iron,3,indian
mine,3,indian
whisk,3,indian
dipping,3,indian
end,3,indian
lay,3,indian
cast,3,indian
min,3,indian
holds,3,indian
crispy,3,indian
foil,3,indian
oiled,3,indian
degree,3,indian
crush,3,indian
six,2,indian
hole,2,indian
yellow,2,indian
loosen,2,indian
rub,2,indian
gentle,2,indian
yeast,2,indian
weeks,2,indian
soy,2,indian
wholewheat,2,indian
topside,2,indian
combined,2,indian
sharp,2,indian
beat,2,indian
roasted,2,indian
folding,2,indian
angle,2,indian
garnishing,2,indian
concentrate,2,indian
diamonds,2,indian
better,2,indian
working,2,indian
swirl,2,indian
whenever,2,indian
required,2,indian
mould,2,indian
slits,2,indian
comes,2,indian
quart,2,indian
layers,2,indian
heated,2,indian
prep,2,indian
falooda,2,indian
release,2,indian
pliable,2,indian
eggs,2,indian
cylinder,2,indian
greased,2,indian
turns,2,indian
beef,2,indian
additional,2,indian
slit,2,indian
spicy,2,indian
board,2,indian
amounts,2,indian
vigorously,2,indian
puris,2,indian
never,2,indian
delicate,2,indian
pani,2,indian
assemble,2,indian
asafetida,2,indian
avoid,2,indian
raisins,2,indian
slices,2,indian
cooled,2,indian
create,2,indian
hold,2,indian
pista,2,indian
zip,2,indian
vada,2,indian
day,2,indian
perforations,2,indian
however,2,indian
square,2,indian
crunchy,2,indian
placing,2,indian
cookie,2,indian
sheets,2,indian
sprayed,2,indian
leaving,2,indian
pop,2,indian
amount,2,indian
sticking,2,indian
find,2,indian
five,2,indian
halves,2,indian
grinder,2,indian
steep,2,indian
strain,2,indian
wide,2,indian
preparing,2,indian
manner,2,indian
chappati,2,indian
halfandhalf,2,indian
softens,2,indian
traditional,2,indian
stores,2,indian
grocery,2,indian
frozen,2,indian
papadam,2,indian
fully,2,indian
sour,2,indian
lentil,2,indian
soaking,2,indian
counterboard,2,indian
marinating,2,indian
lots,2,indian
holes,2,indian
available,2,indian
convection,2,indian
touching,2,indian
left,2,indian
blitz,2,indian
upper,2,indian
peeking,2,indian
moka,2,indian
poke,2,indian
pulp,2,indian
cashews,2,indian
fairly,2,indian
dosa,2,indian
authentic,2,indian
youve,2,indian
looking,2,indian
peppers,2,indian
gram,2,indian
bowls,2,indian
raw,2,indian
big,2,indian
appear,2,indian
goldenbrown,2,indian
incorporated,2,indian
chappatis,2,indian
buns,2,indian
pulse,2,indian
smell,2,indian
curries,2,indian
measured,2,indian
sweetened,2,indian
plan,2,indian
edge,2,indian
jalebi,2,indian
sealed,2,indian
handy,2,indian
halwa,2,indian
nozzle,2,indian
dries,2,indian
attachment,2,indian
forms,2,indian
napkinlined,2,indian
uniform,2,indian
olive,2,indian
results,2,indian
please,2,indian
garbanzo,2,indian
puffing,2,indian
slide,2,indian
places,2,indian
dissolved,2,indian
puff,2,indian
strands,2,indian
meanwhile,2,indian
think,2,indian
across,2,indian
dark,2,indian
suitable,2,indian
know,2,indian
oz,2,indian
got,2,indian
prawns,2,indian
tip,2,indian
tumeric,2,indian
hard,2,indian
firm,2,indian
blended,2,indian
choice,2,indian
fitted,2,indian
coating,2,indian
ease,2,indian
fridge,2,indian
reddish,2,indian
tinge,2,indian
besan,2,indian
softened,2,indian
buttermilk,2,indian
fennel,2,indian
burn,2,indian
single,2,indian
walnut,2,indian
ribbon,2,indian
chilla,2,indian
topping,2,indian
really,2,indian
dessert,2,indian
evaporates,2,indian
semolina,2,indian
gets,2,indian
tightly,2,indian
microwave,2,indian
pretty,2,indian
cooks,2,indian
similar,2,indian
bigger,2,indian
sieve,2,indian
casserole,2,indian
reserve,2,indian
skewers,2,indian
wooden,2,indian
grate,2,indian
sheet,2,indian
kulfi,2,indian
jalapeno,2,indian
seams,2,indian
handheld,2,indian
double,2,indian
sift,2,indian
products,2,indian
tbls,2,indian
pizza,2,indian
flattened,2,indian
soaked,2,indian
almondcoconut,2,indian
dryroast,2,indian
obtain,2,indian
allpurpose,2,indian
garnishes,2,indian
salted,2,indian
unroll,2,indian
collapse,2,indian
discard,2,indian
briefly,2,indian
palms,2,indian
prevent,2,indian
elastic,2,indian
sugarwater,2,indian
workspace,2,indian
rose,2,indian
doesnt,2,indian
drink,2,indian
kitchen,2,indian
motion,2,indian
slip,2,indian
go,2,indian
theyll,2,indian
peppercorns,2,indian
cheese,2,indian
cone,2,indian
note,2,indian
fingertips,1,indian
oozing,1,indian
alternatively,1,indian
oneinch,1,indian
broad,1,indian
springs,1,indian
order,1,indian
groundnuts,1,indian
corriander,1,indian
stirfry,1,indian
loose,1,indian
chillli,1,indian
firmly,1,indian
processorthey,1,indian
access,1,indian
medu,1,indian
chapati,1,indian
cling,1,indian
sufficient,1,indian
separately,1,indian
stack,1,indian
ferment,1,indian
fingers,1,indian
frypan,1,indian
shortening,1,indian
ideas,1,indian
usli,1,indian
important,1,indian
keeping,1,indian
tongs,1,indian
sprig,1,indian
pierce,1,indian
heatadd,1,indian
tiny,1,indian
fluffy,1,indian
stretching,1,indian
bubbles,1,indian
pressing,1,indian
breadbasket,1,indian
corianderhingonion,1,indian
film,1,indian
cashewnut,1,indian
refresh,1,indian
nearby,1,indian
tool,1,indian
floret,1,indian
sided,1,indian
onionflour,1,indian
needs,1,indian
burner,1,indian
spillage,1,indian
case,1,indian
sriracha,1,indian
stuff,1,indian
increase,1,indian
greens,1,indian
watersoaked,1,indian
overflow,1,indian
fryer,1,indian
early,1,indian
morning,1,indian
thoroughlly,1,indian
runny,1,indian
eachother,1,indian
bhajis,1,indian
tear,1,indian
remainder,1,indian
fruit,1,indian
creamy,1,indian
tamarinddate,1,indian
mintcilantro,1,indian
patty,1,indian
topped,1,indian
sprinkling,1,indian
urad,1,indian
separated,1,indian
bash,1,indian
chefs,1,indian
drops,1,indian
chopping,1,indian
smoothly,1,indian
inchlong,1,indian
foods,1,indian
goblets,1,indian
simmering,1,indian
appams,1,indian
style,1,indian
maple,1,indian
son,1,indian
enjoys,1,indian
portionsdust,1,indian
cucumber,1,indian
flavours,1,indian
maida,1,indian
refined,1,indian
favourite,1,indian
greater,1,indian
roller,1,indian
takes,1,indian
bottomed,1,indian
coarsely,1,indian
slivered,1,indian
chat,1,indian
puddinglike,1,indian
yes,1,indian
stew,1,indian
yeastcooking,1,indian
mutton,1,indian
banana,1,indian
stopping,1,indian
consitency,1,indian
pourable,1,indian
non,1,indian
kadhai,1,indian
runs,1,indian
full,1,indian
spreads,1,indian
appam,1,indian
spongy,1,indian
smear,1,indian
seem,1,indian
lacey,1,indian
tawa,1,indian
circleadd,1,indian
jaggery,1,indian
shaping,1,indian
equivalent,1,indian
sambhar,1,indian
flow,1,indian
zeera,1,indian
mirch,1,indian
preinfused,1,indian
kali,1,indian
aaloobukharay,1,indian
facilitate,1,indian
prunes,1,indian
free,1,indian
fountainin,1,indian
theyre,1,indian
adrak,1,indian
stage,1,indian
lehsan,1,indian
years,1,indian
jars,1,indian
switch,1,indian
sterilised,1,indian
pumpkin,1,indian
preinfusion,1,indian
passes,1,indian
grated,1,indian
guide,1,indian
folds,1,indian
curl,1,indian
repeated,1,indian
semicircle,1,indian
course,1,indian
morter,1,indian
magic,1,indian
bullet,1,indian
flatbladed,1,indian
containing,1,indian
scalded,1,indian
sultanas,1,indian
scald,1,indian
optionally,1,indian
kettle,1,indian
marsala,1,indian
raita,1,indian
partbasketkeep,1,indian
fluff,1,indian
broth,1,indian
stockpot,1,indian
handfuls,1,indian
partially,1,indian
soften,1,indian
stovetop,1,indian
½,1,indian
raise,1,indian
quarters,1,indian
strong,1,indian
chewey,1,indian
wilted,1,indian
flavorful,1,indian
flavors,1,indian
yields,1,indian
spray,1,indian
fragrance,1,indian
electric,1,indian
liking,1,indian
wont,1,indian
foamy,1,indian
solids,1,indian
ingenious,1,indian
allows,1,indian
steamer,1,indian
moderate,1,indian
love,1,indian
chilipowder,1,indian
third,1,indian
oval,1,indian
vegetables,1,indian
crumbly,1,indian
reconstituted,1,indian
pod,1,indian
markets,1,indian
ethnic,1,indian
choose,1,indian
many,1,indian
section,1,indian
veggie,1,indian
produce,1,indian
periods,1,indian
rounded,1,indian
flicked,1,indian
cube,1,indian
karai,1,indian
steamed,1,indian
quicken,1,indian
notice,1,indian
rooafzahrose,1,indian
float,1,indian
rooafzah,1,indian
scoop,1,indian
depth,1,indian
operation,1,indian
veggies,1,indian
powderedmilk,1,indian
distributed,1,indian
heavybottomed,1,indian
cohesive,1,indian
essence,1,indian
scented,1,indian
whatnot,1,indian
log,1,indian
noodlessev,1,indian
takmaria,1,indian
agitate,1,indian
hotter,1,indian
mushy,1,indian
dampening,1,indian
moderately,1,indian
sliced,1,indian
dampen,1,indian
eggplant,1,indian
plain,1,indian
wheat,1,indian
others,1,indian
entire,1,indian
pressure,1,indian
filled,1,indian
idlis,1,indian
sambar,1,indian
dosai,1,indian
risen,1,indian
milagai,1,indian
knock,1,indian
uses,1,indian
smoking,1,indian
sun,1,indian
proteinsolids,1,indian
simmers,1,indian
happen,1,indian
opening,1,indian
prepare,1,indian
ricedhal,1,indian
plus,1,indian
breaks,1,indian
repeatedly,1,indian
bits,1,indian
flexible,1,indian
dhal,1,indian
garnished,1,indian
browns,1,indian
show,1,indian
stacked,1,indian
months,1,indian
properly,1,indian
foam,1,indian
thickness,1,indian
upon,1,indian
range,1,indian
sleeve,1,indian
buttery,1,indian
delicious,1,indian
extremely,1,indian
maximum,1,indian
pull,1,indian
save,1,indian
decant,1,indian
gone,1,indian
tops,1,indian
soon,1,indian
nutty,1,indian
gold,1,indian
described,1,indian
crust,1,indian
vary,1,indian
beyond,1,indian
hamburger,1,indian
cutter,1,indian
shimmers,1,indian
term,1,indian
planning,1,indian
instantly,1,indian
bottles,1,indian
market,1,indian
wellwashed,1,indian
thestar,1,indian
experiment,1,indian
nozzles,1,indian
wish,1,indian
circumstances,1,indian
thewriting,1,indian
thinnest,1,indian
face,1,indian
planetlol,1,indian
lowmedium,1,indian
prepared,1,indian
star,1,indian
nozzlejalebi,1,indian
squeezing,1,indian
bottleicing,1,indian
concentric,1,indian
scare,1,indian
fall,1,indian
preprepared,1,indian
dropped,1,indian
hint,1,indian
u,1,indian
absorb,1,indian
servingspoonful,1,indian
drizzle,1,indian
underside,1,indian
corn,1,indian
graham,1,indian
plums,1,indian
burst,1,indian
asefetida,1,indian
nicely,1,indian
aroma,1,indian
released,1,indian
gramflour,1,indian
ensuring,1,indian
remain,1,indian
technically,1,indian
calledribbon,1,indian
simply,1,indian
requires,1,indian
circular,1,indian
known,1,indian
reserving,1,indian
strainer,1,indian
muslin,1,indian
extracting,1,indian
repress,1,indian
number,1,indian
flavour,1,indian
atleast,1,indian
pouring,1,indian
petals,1,indian
excellent,1,indian
kormatype,1,indian
sugars,1,indian
smoothed,1,indian
cake,1,indian
girls,1,indian
freezer,1,indian
actual,1,indian
cooling,1,indian
pick,1,indian
discolored,1,indian
toasty,1,indian
colored,1,indian
containerpitcher,1,indian
overin,1,indian
hindi,1,indian
filter,1,indian
aschashni,1,indian
threads,1,indian
latter,1,indian
apron,1,indian
vanish,1,indian
blame,1,indian
addicted,1,indian
dad,1,indian
condensed,1,indian
flavor,1,indian
popsicle,1,indian
stainless,1,indian
steel,1,indian
freeze,1,indian
resting,1,indian
bottoms,1,indian
gooey,1,indian
mess,1,indian
litre,1,indian
items,1,indian
cheesecloth,1,indian
silver,1,indian
packets,1,indian
burning,1,indian
complete,1,indian
kept,1,indian
kesar,1,indian
overheat,1,indian
caramelize,1,indian
jamun,1,indian
caramelized,1,indian
flakes,1,indian
wine,1,indian
zest,1,indian
jar,1,indian
refrigerating,1,indian
melts,1,indian
continually,1,indian
distribution,1,indian
else,1,indian
daal,1,indian
sweetness,1,indian
resemble,1,indian
nutmeg,1,indian
eight,1,indian
advance,1,indian
earlier,1,indian
temperatures,1,indian
modeling,1,indian
tend,1,indian
shreds,1,indian
curdling,1,indian
addd,1,indian
allspice,1,indian
drained,1,indian
moisten,1,indian
pie,1,indian
wedges,1,indian
wedge,1,indian
bringing,1,indian
points,1,indian
pinching,1,indian
pyramid,1,indian
cilatro,1,indian
spoonfulls,1,indian
eaten,1,indian
combining,1,indian
mediumhard,1,indian
yet,1,indian
instead,1,indian
agitated,1,indian
blade,1,indian
clay,1,indian
aluminum,1,indian
presoaked,1,indian
skewered,1,indian
halfed,1,indian
disintegrated,1,indian
pass,1,indian
gravy,1,indian
meantime,1,indian
desiccated,1,indian
cheddar,1,indian
pilau,1,indian
feels,1,indian
discs,1,indian
seasoned,1,indian
original,1,indian
states,1,indian
idea,1,indian
took,1,indian
blackishbrown,1,indian
finishes,1,indian
balloon,1,indian
stacking,1,indian
basket,1,indian
chargrill,1,indian
marinated,1,indian
disk,1,indian
thread,1,indian
dumpling,1,indian
dredge,1,indian
spill,1,indian
sufficiently,1,indian
hits,1,indian
watch,1,indian
bubble,1,indian
flipping,1,indian
spotted,1,indian
happens,1,indian
baste,1,indian
basting,1,indian
gheecooked,1,indian
colander,1,indian
evaporate,1,indian
transferred,1,indian
appropriate,1,indian
storage,1,indian
rock,1,indian
simple,1,indian
nonmetallic,1,indian
wick,1,indian
toasted,1,indian
blending,1,indian
pat,1,indian
spoons,1,indian
ratios,1,indian
smaller,1,indian
lets,1,indian
say,1,indian
bark,1,indian
smelling,1,indian
oniongarlicginger,1,indian
shakes,1,indian
brighter,1,indian
incorporate,1,indian
opaque,1,indian
outside,1,indian
everything,1,indian
totally,1,indian
recover,1,indian
simmerstew,1,indian
thai,1,indian
washed,1,indian
diagonal,1,indian
ample,1,indian
randomly,1,indian
bought,1,indian
saag,1,indian
skins,1,indian
glasses,1,indian
deseed,1,indian
chilie,1,indian
tinned,1,indian
coloured,1,indian
rather,1,indian
completelywith,1,indian
amchoor,1,indian
slashes,1,indian
drumstick,1,indian
fivespice,1,indian
preferably,1,indian
clingfilm,1,indian
gas,1,indian
mark,1,indian
tin,1,indian
something,1,indian
fit,1,indian
blendgrate,1,indian
rough,1,indian
super,1,indian
final,1,indian
bhaji,1,indian
salad,1,indian
swell,1,indian
scraping,1,indian
collects,1,indian
spooned,1,indian
kala,1,indian
jeera,1,indian
asian,1,indian
torn,1,indian
thaw,1,indian
drier,1,indian
stirtoss,1,indian
total,1,indian
somewhere,1,indian
heats,1,indian
mother,1,indian
shrimp,1,indian
prior,1,indian
could,1,indian
shredded,1,indian
hash,1,indian
pomegranate,1,indian
aid,1,indian
paprikacayenne,1,indian
peppercons,1,indian
scale,1,indian
serveral,1,indian
leftovers,1,indian
handle,1,indian
seedsonionsturmeric,1,indian
powderchopped,1,indian
chilisalt,1,indian
pulling,1,indian
proceed,1,indian
settle,1,indian
easier,1,indian
handed,1,indian
semirolled,1,indian
different,1,indian
